intercept,block-mean,block-lin,derivative-1,derivative-2,derivative-3,derivative-4
1.0,0.45796720480280206,-1.316849753022647,-2.3917398271066483,2.6121700445395155,3.0953257798868252,-3.0349513649941926
1.0,0.029482461435079457,-0.9673142247067708,-3.0653486378136865,1.7968423758131664,3.9694448594379828,-1.8964948794241625
1.0,-0.431976063680528,-0.5908804032726063,-2.9220358702430045,-0.1686907340602289,3.787520761637358,0.6466898094836895
1.0,-0.8269960955785751,-0.2686436429631624,-2.2956086162300613,-1.7727839799200757,2.9800297039385693,2.730595310061958
1.0,-1.114768345865025,-0.03389403496556736,-1.5612406951338282,-2.3646460573682244,2.031761421440962,3.5526785569168156
1.0,-1.2983267850254503,0.11584337576346555,-0.927692255373049,-2.109232287301246,1.2129061636462766,3.3126913392544304
1.0,-1.3991565215959585,0.19809502132993898,-0.4545324510872544,-1.4440100173043404,0.6008927469198078,2.5469095926788214
1.0,-1.4408538837280866,0.23210955680133136,-0.12814677517289697,-0.7250336572790532,0.17843368173438412,1.6942313308431236
1.0,-1.4429823951427059,0.23384588551163227,0.08363198093290165,-0.1357976725402148,-0.09588107064857289,0.9836135967281479
1.0,-1.4204304576801232,0.21544918995235657,0.20929570641105694,0.2733174082943985,-0.2588074719036442,0.4814360931352953
1.0,-1.3843683925101207,0.18603163612701304,0.27048037785897183,0.5212834236536781,-0.3382908162598611,0.1688941746698737
1.0,-1.3430801897021436,0.15235087151385115,0.28464460486320564,0.6504229597585552,-0.35690019998512396,-0.002097086113153029
1.0,-1.3022300506378313,0.11904617578078841,0.27448076523060483,0.6905006374734266,-0.34271191948044766,-0.06734130537903087
1.0,-1.2418291530710515,0.0724329804588317,0.6434994194434049,-0.019656871338592646,-0.7499578177055582,0.6552684824957968
1.0,-1.0562172684535174,-0.061767358298578066,1.800534254796562,-1.7730997244258724,-2.038981461728849,2.4369266243674863
1.0,-0.6872155882924507,-0.32451804040961385,2.8894315839396163,-2.2746432490014725,-3.253257053807065,2.851162869872024
1.0,-0.21366935243397955,-0.6602938885962759,3.1976068553036376,-0.8533393903955804,-3.595062593528459,1.2169445603309543
1.0,0.24383135399941705,-0.9841961022707671,2.790423954681779,1.100527709325736,-3.1366598352045054,-0.9722546311703034
1.0,0.6086603683662725,-1.2423324782937402,2.0634389692024357,2.3265829015959447,-2.3202971568609345,-2.371512100530714
1.0,0.8607583220101067,-1.4206781210839592,1.3358408232324956,2.540403955678767,-1.503276769933586,-2.675739360666421
1.0,1.013711714320545,-1.5289067454770693,0.7503374414087298,2.0703351859072243,-0.8455555593259881,-2.232550728041451
1.0,1.0917693215733393,-1.5841860349977819,0.3287904757373426,1.347308291934414,-0.37176379793789655,-1.5006808750281901
1.0,1.117798781053433,-1.6026896393113153,0.04490415113737895,0.6616266099476977,-0.05250596574627261,-0.7913196981920496
1.0,1.1098509295797696,-1.597179017330964,-0.13421520347022733,0.13807932648304552,0.14908217870877846,-0.2408581956188406
1.0,1.0815000891259776,-1.577247442295231,-0.2349379707424319,-0.20665339464589094,0.2625951798886474,0.12893003425109537
1.0,1.0428879016524764,-1.55005951431338,-0.27740412921324714,-0.4048061979946752,0.3106540397231458,0.3485766425797001
1.0,1.0013275271703521,-1.5207699716654917,-0.2780622314204799,-0.5003240343193878,0.31167206281626364,0.4617342947166941
1.0,0.9619444503834763,-1.4930085171146452,-0.25218552722210114,-0.53254298689373,0.28286554602138136,0.5079800577599266
1.0,0.9277158656983111,-1.4688805064155506,-0.21261237541094472,-0.5303991448500006,0.23866744128088832,0.5166570028764446
